step,max_kl,lr,steps,reward_mean,value_mean,ret_mean,adv_mean,explained_variance,rollout_end_time,value_loss,policy_loss,final_policy_loss,i_scale,kl,entropy,gd_time,total_time
116,0.01,0.001,600,-0.247211,-8.57731,-8.74969,-0.173222,0.988858,0.0759587,1.2631,0.175453,0.171913,0,0.00806271,0.943099,8.13976,1638.03
117,0.01,0.001,600,-0.234498,-8.48898,-8.34617,0.141118,0.985143,0.0545144,1.59843,-0.173381,-0.175306,1,0.00246823,0.929054,8.29296,1649.86
118,0.01,0.001,600,-0.242964,-8.45995,-8.48778,-0.0274123,0.98678,0.0575328,1.42432,0.027798,0.0245461,0,0.00914096,0.920585,8.07066,1661.43
119,0.01,0.001,600,-0.226084,-8.36204,-8.10666,0.253467,0.984633,0.0522251,2.92747,-0.185449,-0.18974,0,0.00888438,0.919886,18.6832,1683.71
120,0.01,0.001,600,-0.217176,-8.00196,-7.67188,0.329055,0.988459,0.0525799,1.09705,-0.318446,-0.321617,0,0.00843449,0.891438,7.8734,1695.06
121,0.01,0.001,600,-0.237225,-8.09263,-8.35279,-0.262163,0.984787,0.0557833,1.35648,0.276839,0.273602,0,0.00848139,0.873746,8.17618,1709.26
122,0.01,0.001,600,-0.230836,-7.97366,-8.05632,-0.0832061,0.988836,0.0525482,1.24993,0.110435,0.107518,0,0.00906778,0.887081,8.00771,1720.61
123,0.01,0.001,600,-0.248983,-8.28818,-8.57313,-0.284663,0.98763,0.0483928,1.43368,0.283906,0.279997,0,0.00852719,0.895417,8.07227,1732.49
124,0.01,0.001,600,-0.251661,-8.71528,-8.87461,-0.160122,0.988532,0.0534108,1.19674,0.116814,0.110918,0,0.0088457,0.939907,8.09712,1744.12
125,0.01,0.001,600,-0.253621,-8.96919,-9.06778,-0.100013,0.986002,0.0580361,1.35753,0.112576,0.108285,0,0.00985208,0.881417,7.90402,1755.48
126,0.01,0.001,600,-0.220007,-8.62864,-8.11932,0.509118,0.982376,0.0554512,1.55214,-0.439604,-0.444247,0,0.00967528,0.867249,8.08402,1767.02
127,0.01,0.001,600,-0.229765,-8.30696,-8.18917,0.116231,0.989422,0.053519,2.36952,-0.0383143,-0.0421106,0,0.00757196,0.855946,7.89424,1778.34
128,0.01,0.001,600,-0.228737,-8.05664,-7.95152,0.105002,0.986429,0.0493166,1.16525,-0.0984093,-0.102822,0,0.00922691,0.836518,8.97458,1790.54
129,0.01,0.001,600,-0.232547,-7.87893,-7.93939,-0.0618511,0.986737,0.0535011,1.29848,0.0751115,0.072298,0,0.00834773,0.832066,7.91798,1802.04
130,0.01,0.001,600,-0.240942,-8.02544,-8.25982,-0.234765,0.985907,0.0505102,1.27902,0.258512,0.255157,0,0.00821562,0.811979,8.18953,1813.58
131,0.01,0.001,600,-0.229258,-8.17147,-8.13097,0.0396674,0.988272,0.0537014,1.17038,-0.0266925,-0.0301304,0,0.00859129,0.855371,8.16268,1825.28
132,0.01,0.001,600,-0.239028,-8.46765,-8.50773,-0.0410219,0.989359,0.0562057,1.20865,0.0556255,0.0523626,0,0.00912334,0.844692,8.09596,1836.74
133,0.01,0.001,600,-0.237066,-8.56474,-8.43116,0.133274,0.989819,0.0514588,1.07663,-0.150568,-0.15275,0,0.00769787,0.847989,7.86933,1847.99
134,0.01,0.001,600,-0.234057,-8.29225,-8.30095,-0.00809328,0.988142,0.0557985,1.11761,0.0230268,0.0207384,0,0.00825962,0.884928,7.67527,1859.05
